DATE,T1YFF
2019-04-29,-0.03
2019-04-30,-0.06
2019-05-01,-0.06
2019-05-02,0.0
2019-05-03,0.01
2019-05-06,-0.01
2019-05-07,-0.03
2019-05-08,-0.02
2019-05-09,-0.02
2019-05-10,-0.02
2019-05-13,-0.06
2019-05-14,-0.06
2019-05-15,-0.1
2019-05-16,-0.06
2019-05-17,-0.06
2019-05-20,-0.05
2019-05-21,-0.03
2019-05-22,-0.01
2019-05-23,-0.06
2019-05-24,-0.05
2019-05-27,.
2019-05-28,-0.08
2019-05-29,-0.09
2019-05-30,-0.1
2019-05-31,-0.19
2019-06-03,-0.27
2019-06-04,-0.27
2019-06-05,-0.34
2019-06-06,-0.35
2019-06-07,-0.4
2019-06-10,-0.34
2019-06-11,-0.32
2019-06-12,-0.35
2019-06-13,-0.37
2019-06-14,-0.36
2019-06-17,-0.35
2019-06-18,-0.33
2019-06-19,-0.41
2019-06-20,-0.46
2019-06-21,-0.43
2019-06-24,-0.46
2019-06-25,-0.45
2019-06-26,-0.42
2019-06-27,-0.45
2019-06-28,-0.48
2019-07-01,-0.45
2019-07-02,-0.49
2019-07-03,-0.5
2019-07-04,.
2019-07-05,-0.44
2019-07-08,-0.42
2019-07-09,-0.41
2019-07-10,-0.48
2019-07-11,-0.43
2019-07-12,-0.42
2019-07-15,-0.45
2019-07-16,-0.41
2019-07-17,-0.46
2019-07-18,-0.51
2019-07-19,-0.47
2019-07-22,-0.45
2019-07-23,-0.43
2019-07-24,-0.42
2019-07-25,-0.41
2019-07-26,-0.4
2019-07-29,-0.42
2019-07-30,-0.42
2019-07-31,-0.4
2019-08-01,-0.26
2019-08-02,-0.29
2019-08-05,-0.35
2019-08-06,-0.33
2019-08-07,-0.37
2019-08-08,-0.33
2019-08-09,-0.34
2019-08-12,-0.37
2019-08-13,-0.26
2019-08-14,-0.33
2019-08-15,-0.41
2019-08-16,-0.42
2019-08-19,-0.38
2019-08-20,-0.41
2019-08-21,-0.35
2019-08-22,-0.33
2019-08-23,-0.39
2019-08-26,-0.37
2019-08-27,-0.35
2019-08-28,-0.38
2019-08-29,-0.37
2019-08-30,-0.37
2019-09-02,.
2019-09-03,-0.41
2019-09-04,-0.44
2019-09-05,-0.4
2019-09-06,-0.39
2019-09-09,-0.39
2019-09-10,-0.32
2019-09-11,-0.34
2019-09-12,-0.31
2019-09-13,-0.26
2019-09-16,-0.39
2019-09-17,-0.43
2019-09-18,-0.38
2019-09-19,-0.02
2019-09-20,-0.06
2019-09-23,-0.09
2019-09-24,-0.12
2019-09-25,-0.08
2019-09-26,-0.06
2019-09-27,-0.09
2019-09-30,-0.15
2019-10-01,-0.15
2019-10-02,-0.18
2019-10-03,-0.25
2019-10-04,-0.24
2019-10-07,-0.18
2019-10-08,-0.2
2019-10-09,-0.23
2019-10-10,-0.19
2019-10-11,-0.15
2019-10-14,.
2019-10-15,-0.25
2019-10-16,-0.31
2019-10-17,-0.26
2019-10-18,-0.27
2019-10-21,-0.26
2019-10-22,-0.26
2019-10-23,-0.27
2019-10-24,-0.26
2019-10-25,-0.23
2019-10-28,-0.23
2019-10-29,-0.23
2019-10-30,-0.23
2019-10-31,-0.05
2019-11-01,-0.04
2019-11-04,0.0
2019-11-05,0.06
2019-11-06,0.03
2019-11-07,0.03
2019-11-08,0.03
2019-11-11,.
2019-11-12,0.03
2019-11-13,0.02
2019-11-14,0.0
2019-11-15,-0.01
2019-11-18,-0.01
2019-11-19,-0.01
2019-11-20,-0.01
2019-11-21,0.0
2019-11-22,0.01
2019-11-25,0.03
2019-11-26,0.04
2019-11-27,0.05
2019-11-28,.
2019-11-29,0.04
2019-12-02,0.04
2019-12-03,0.02
2019-12-04,0.01
2019-12-05,0.01
2019-12-06,0.02
2019-12-09,0.01
2019-12-10,0.01
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,-0.01
2019-12-16,-0.02
2019-12-17,-0.02
2019-12-18,-0.01
2019-12-19,-0.03
2019-12-20,-0.03
2019-12-23,-0.02
2019-12-24,-0.02
2019-12-25,.
2019-12-26,-0.02
2019-12-27,-0.04
2019-12-30,0.02
2019-12-31,0.04
2020-01-01,.
2020-01-02,0.01
2020-01-03,0.0
2020-01-06,-0.01
2020-01-07,-0.02
2020-01-08,0.0
2020-01-09,-0.01
2020-01-10,-0.01
2020-01-13,-0.01
2020-01-14,-0.01
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.01
2020-01-20,.
2020-01-21,-0.01
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,-0.02
2020-01-28,-0.02
2020-01-29,-0.04
2020-01-30,-0.12
2020-01-31,-0.14
2020-02-03,-0.13
2020-02-04,-0.11
2020-02-05,-0.1
2020-02-06,-0.08
2020-02-07,-0.09
2020-02-10,-0.13
2020-02-11,-0.1
2020-02-12,-0.09
2020-02-13,-0.1
2020-02-14,-0.09
2020-02-17,.
2020-02-18,-0.12
2020-02-19,-0.12
2020-02-20,-0.13
2020-02-21,-0.15
2020-02-24,-0.23
2020-02-25,-0.28
2020-02-26,-0.32
2020-02-27,-0.4
2020-02-28,-0.61
2020-03-02,-0.7
2020-03-03,-0.86
2020-03-04,-0.5
2020-03-05,-0.61
2020-03-06,-0.7
2020-03-09,-0.78
2020-03-10,-0.66
2020-03-11,-0.69
2020-03-12,-0.71
2020-03-13,-0.72
2020-03-16,0.04
2020-03-17,0.05
2020-03-18,-0.04
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.02
2020-03-24,0.13
2020-03-25,0.09
2020-03-26,0.03
2020-03-27,0.01
2020-03-30,0.05
2020-03-31,0.09
2020-04-01,0.1
2020-04-02,0.09
2020-04-03,0.1
2020-04-06,0.15
2020-04-07,0.15
2020-04-08,0.18
2020-04-09,0.2
2020-04-10,.
2020-04-13,0.22
2020-04-14,0.2
2020-04-15,0.14
2020-04-16,0.12
2020-04-17,0.11
2020-04-20,0.1
2020-04-21,0.12
2020-04-22,0.11
2020-04-23,0.13
2020-04-24,0.13
2020-04-27,0.13
2020-04-28,0.12
2020-04-29,0.14
2020-04-30,0.11
2020-05-01,0.12
2020-05-04,0.11
2020-05-05,0.11
2020-05-06,0.11
2020-05-07,0.1
2020-05-08,0.1
2020-05-11,0.11
2020-05-12,0.11
2020-05-13,0.1
2020-05-14,0.1
2020-05-15,0.1
2020-05-18,0.12
2020-05-19,0.11
2020-05-20,0.11
2020-05-21,0.11
2020-05-22,0.12
2020-05-25,.
2020-05-26,0.12
2020-05-27,0.13
2020-05-28,0.12
2020-05-29,0.12
2020-06-01,0.12
2020-06-02,0.11
2020-06-03,0.11
2020-06-04,0.11
2020-06-05,0.11
2020-06-08,0.12
2020-06-09,0.12
2020-06-10,0.1
2020-06-11,0.11
2020-06-12,0.1
2020-06-15,0.08
2020-06-16,0.09
2020-06-17,0.1
2020-06-18,0.1
2020-06-19,0.09
2020-06-22,0.09
2020-06-23,0.1
2020-06-24,0.09
2020-06-25,0.09
2020-06-26,0.09
2020-06-29,0.08
2020-06-30,0.08
2020-07-01,0.08
2020-07-02,0.07
2020-07-03,.
2020-07-06,0.07
2020-07-07,0.06
2020-07-08,0.06
2020-07-09,0.06
2020-07-10,0.06
2020-07-13,0.07
2020-07-14,0.08
2020-07-15,0.05
2020-07-16,0.04
2020-07-17,0.05
2020-07-20,0.04
2020-07-21,0.05
2020-07-22,0.05
2020-07-23,0.05
2020-07-24,0.07
2020-07-27,0.04
2020-07-28,0.04
2020-07-29,0.03
2020-07-30,0.01
2020-07-31,0.01
2020-08-03,0.02
2020-08-04,0.04
2020-08-05,0.02
2020-08-06,0.04
2020-08-07,0.04
2020-08-10,0.03
2020-08-11,0.05
2020-08-12,0.03
2020-08-13,0.04
2020-08-14,0.03
2020-08-17,0.03
2020-08-18,0.04
2020-08-19,0.04
2020-08-20,0.03
2020-08-21,0.04
2020-08-24,0.05
2020-08-25,0.04
2020-08-26,0.03
2020-08-27,0.05
2020-08-28,0.03
2020-08-31,0.03
2020-09-01,0.03
2020-09-02,0.04
2020-09-03,0.03
2020-09-04,0.04
2020-09-07,.
2020-09-08,0.06
2020-09-09,0.05
2020-09-10,0.06
2020-09-11,0.04
2020-09-14,0.05
2020-09-15,0.04
2020-09-16,0.03
2020-09-17,0.03
2020-09-18,0.04
2020-09-21,0.03
2020-09-22,0.03
2020-09-23,0.04
2020-09-24,0.03
2020-09-25,0.03
2020-09-28,0.03
2020-09-29,0.03
2020-09-30,0.03
2020-10-01,0.03
2020-10-02,0.03
2020-10-05,0.03
2020-10-06,0.05
2020-10-07,0.04
2020-10-08,0.04
2020-10-09,0.06
2020-10-12,.
2020-10-13,0.04
2020-10-14,0.04
2020-10-15,0.03
2020-10-16,0.03
2020-10-19,0.04
2020-10-20,0.04
2020-10-21,0.04
2020-10-22,0.04
2020-10-23,0.03
2020-10-26,0.03
2020-10-27,0.03
2020-10-28,0.03
2020-10-29,0.03
2020-10-30,0.04
2020-11-02,0.04
2020-11-03,0.05
2020-11-04,0.03
2020-11-05,0.03
2020-11-06,0.03
2020-11-09,0.03
2020-11-10,0.03
2020-11-11,.
2020-11-12,0.04
2020-11-13,0.03
2020-11-16,0.03
2020-11-17,0.03
2020-11-18,0.02
2020-11-19,0.03
2020-11-20,0.03
2020-11-23,0.02
2020-11-24,0.03
2020-11-25,0.03
2020-11-26,.
2020-11-27,0.03
2020-11-30,0.02
2020-12-01,0.03
2020-12-02,0.02
2020-12-03,0.01
2020-12-04,0.02
2020-12-07,0.01
2020-12-08,0.01
2020-12-09,0.01
2020-12-10,0.01
2020-12-11,0.01
2020-12-14,0.01
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.01
2020-12-25,.
2020-12-28,0.02
2020-12-29,0.02
2020-12-30,0.03
2020-12-31,0.01
2021-01-01,.
2021-01-04,0.01
2021-01-05,0.01
2021-01-06,0.02
2021-01-07,0.02
2021-01-08,0.01
2021-01-11,0.01
2021-01-12,0.02
2021-01-13,0.03
2021-01-14,0.01
2021-01-15,0.01
2021-01-18,.
2021-01-19,0.01
2021-01-20,0.01
2021-01-21,0.02
2021-01-22,0.02
2021-01-25,0.02
2021-01-26,0.01
2021-01-27,0.01
2021-01-28,0.01
2021-01-29,0.03
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,-0.01
2021-02-05,-0.02
2021-02-08,0.0
2021-02-09,-0.01
2021-02-10,-0.01
2021-02-11,-0.01
2021-02-12,-0.02
2021-02-15,.
2021-02-16,0.0
2021-02-17,-0.01
2021-02-18,-0.01
2021-02-19,0.0
2021-02-22,-0.01
2021-02-23,0.01
2021-02-24,0.01
2021-02-25,0.02
2021-02-26,0.01
2021-03-01,0.01
2021-03-02,0.01
2021-03-03,0.01
2021-03-04,0.01
2021-03-05,0.01
2021-03-08,0.02
2021-03-09,0.03
2021-03-10,0.01
2021-03-11,0.01
2021-03-12,0.02
2021-03-15,0.01
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.01
2021-03-19,0.0
2021-03-22,-0.01
2021-03-23,0.01
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,-0.01
2021-03-29,-0.01
2021-03-30,-0.01
2021-03-31,0.01
2021-04-01,-0.01
2021-04-02,0.0
2021-04-05,-0.01
2021-04-06,-0.01
2021-04-07,-0.01
2021-04-08,-0.02
2021-04-09,-0.01
2021-04-12,-0.01
2021-04-13,-0.01
2021-04-14,-0.01
2021-04-15,-0.01
2021-04-16,-0.01
2021-04-19,0.01
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,-0.01
2021-04-23,0.0
2021-04-26,-0.01
2021-04-27,-0.01
2021-04-28,-0.02
2021-04-29,-0.01
2021-04-30,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,-0.01
2021-05-07,-0.01
2021-05-10,-0.01
2021-05-11,-0.01
2021-05-12,-0.01
2021-05-13,-0.01
2021-05-14,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,-0.01
2021-05-20,-0.01
2021-05-21,-0.02
2021-05-24,-0.02
2021-05-25,-0.02
2021-05-26,-0.02
2021-05-27,-0.02
2021-05-28,0.0
2021-05-31,.
2021-06-01,-0.02
2021-06-02,-0.01
2021-06-03,-0.02
2021-06-04,-0.01
2021-06-07,-0.01
2021-06-08,-0.01
2021-06-09,-0.01
2021-06-10,-0.01
2021-06-11,-0.01
2021-06-14,-0.01
2021-06-15,0.02
2021-06-16,0.02
2021-06-17,-0.02
2021-06-18,-0.01
2021-06-21,-0.01
2021-06-22,-0.01
2021-06-23,-0.02
2021-06-24,-0.02
2021-06-25,-0.01
2021-06-28,-0.02
2021-06-29,-0.02
2021-06-30,-0.01
2021-07-01,-0.01
2021-07-02,-0.02
2021-07-05,.
2021-07-06,-0.03
2021-07-07,-0.02
2021-07-08,-0.03
2021-07-09,-0.02
2021-07-12,-0.02
2021-07-13,-0.02
2021-07-14,-0.02
2021-07-15,-0.03
2021-07-16,-0.02
2021-07-19,-0.03
2021-07-20,-0.02
2021-07-21,-0.03
2021-07-22,-0.03
2021-07-23,-0.03
2021-07-26,-0.02
2021-07-27,-0.03
2021-07-28,-0.03
2021-07-29,-0.02
2021-07-30,0.0
2021-08-02,-0.03
2021-08-03,-0.03
2021-08-04,-0.03
2021-08-05,-0.02
2021-08-06,-0.01
2021-08-09,-0.02
2021-08-10,-0.02
2021-08-11,-0.02
2021-08-12,-0.01
2021-08-13,-0.02
2021-08-16,-0.02
2021-08-17,-0.03
2021-08-18,-0.02
2021-08-19,-0.03
2021-08-20,-0.03
2021-08-23,-0.02
2021-08-24,-0.03
2021-08-25,-0.02
2021-08-26,-0.02
2021-08-27,-0.01
2021-08-30,0.0
2021-08-31,0.01
2021-09-01,-0.01
2021-09-02,-0.01
2021-09-03,0.0
2021-09-06,.
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,-0.01
2021-09-10,0.0
2021-09-13,-0.01
2021-09-14,-0.01
2021-09-15,-0.01
2021-09-16,-0.01
2021-09-17,-0.01
2021-09-20,-0.01
2021-09-21,-0.01
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-27,0.01
2021-09-28,0.01
2021-09-29,0.01
2021-09-30,0.03
2021-10-01,0.01
2021-10-04,0.01
2021-10-05,0.01
2021-10-06,0.02
2021-10-07,0.02
2021-10-08,0.01
2021-10-11,.
2021-10-12,0.02
2021-10-13,0.03
2021-10-14,0.02
2021-10-15,0.04
2021-10-18,0.03
2021-10-19,0.03
2021-10-20,0.02
2021-10-21,0.04
2021-10-22,0.05
2021-10-25,0.06
2021-10-26,0.06
2021-10-27,0.04
2021-10-28,0.07
2021-10-29,0.08
2021-11-01,0.07
2021-11-02,0.07
2021-11-03,0.09
2021-11-04,0.06
2021-11-05,0.06
2021-11-08,0.08
2021-11-09,0.06
2021-11-10,0.09
2021-11-11,.
2021-11-12,0.09
2021-11-15,0.1
2021-11-16,0.09
2021-11-17,0.1
2021-11-18,0.1
2021-11-19,0.1
2021-11-22,0.12
2021-11-23,0.13
2021-11-24,0.16
2021-11-25,.
2021-11-26,0.12
2021-11-29,0.13
2021-11-30,0.17
2021-12-01,0.17
2021-12-02,0.19
2021-12-03,0.18
2021-12-06,0.2
2021-12-07,0.23
2021-12-08,0.21
2021-12-09,0.2
2021-12-10,0.19
2021-12-13,0.19
2021-12-14,0.18
2021-12-15,0.21
2021-12-16,0.18
2021-12-17,0.19
2021-12-20,0.19
2021-12-21,0.21
2021-12-22,0.2
2021-12-23,0.23
2021-12-24,.
2021-12-27,0.25
2021-12-28,0.31
2021-12-29,0.3
2021-12-30,0.3
2021-12-31,0.32
2022-01-03,0.32
2022-01-04,0.3
2022-01-05,0.33
2022-01-06,0.37
2022-01-07,0.35
2022-01-10,0.38
2022-01-11,0.38
2022-01-12,0.4
2022-01-13,0.39
2022-01-14,0.43
2022-01-17,.
2022-01-18,0.5
2022-01-19,0.49
2022-01-20,0.52
2022-01-21,0.5
2022-01-24,0.5
2022-01-25,0.57
2022-01-26,0.62
2022-01-27,0.67
2022-01-28,0.67
2022-01-31,0.7
2022-02-01,0.7
2022-02-02,0.68
2022-02-03,0.7
2022-02-04,0.81
2022-02-07,0.8
2022-02-08,0.83
2022-02-09,0.83
2022-02-10,1.06
2022-02-11,0.99
2022-02-14,1.05
2022-02-15,1.03
2022-02-16,1.01
2022-02-17,0.97
2022-02-18,0.95
2022-02-21,.
2022-02-22,1.09
2022-02-23,1.08
2022-02-24,1.0
2022-02-25,1.05
2022-02-28,0.93
2022-03-01,0.83
2022-03-02,0.98
2022-03-03,1.0
2022-03-04,0.97
2022-03-07,0.99
2022-03-08,1.04
2022-03-09,1.07
2022-03-10,1.11
2022-03-11,1.14
2022-03-14,1.2
2022-03-15,1.2
2022-03-16,1.27
2022-03-17,0.97
2022-03-18,0.96
2022-03-21,1.07
2022-03-22,1.26
2022-03-23,1.19
2022-03-24,1.22
2022-03-25,1.34
2022-03-28,1.36
2022-03-29,1.34
2022-03-30,1.31
2022-03-31,1.3
2022-04-01,1.39
2022-04-04,1.39
2022-04-05,1.44
2022-04-06,1.46
2022-04-07,1.45
2022-04-08,1.48
2022-04-11,1.52
2022-04-12,1.44
2022-04-13,1.45
2022-04-14,1.51
2022-04-15,.
2022-04-18,1.51
2022-04-19,1.61
2022-04-20,1.6
2022-04-21,1.68
2022-04-22,1.73
2022-04-25,1.7
2022-04-26,1.66
2022-04-27,1.64
2022-04-28,1.71
2022-04-29,1.77
2022-05-02,1.77
2022-05-03,1.83
2022-05-04,1.74
2022-05-05,1.25
2022-05-06,1.25
2022-05-09,1.16
2022-05-10,1.18
2022-05-11,1.16
2022-05-12,1.13
2022-05-13,1.21
2022-05-16,1.24
2022-05-17,1.33
2022-05-18,1.33
2022-05-19,1.28
2022-05-20,1.24
2022-05-23,1.26
2022-05-24,1.19
2022-05-25,1.18
2022-05-26,1.16
2022-05-27,1.18
2022-05-30,.
2022-05-31,1.25
2022-06-01,1.33
2022-06-02,1.32
2022-06-03,1.35
2022-06-06,1.4
2022-06-07,1.43
2022-06-08,1.46
2022-06-09,1.52
2022-06-10,1.75
2022-06-13,2.06
2022-06-14,2.32
2022-06-15,2.1
2022-06-16,1.3
2022-06-17,1.28
2022-06-20,.
2022-06-21,1.34
2022-06-22,1.21
2022-06-23,1.2
2022-06-24,1.25
2022-06-27,1.31
2022-06-28,1.3
2022-06-29,1.3
2022-06-30,1.22
2022-07-01,1.21
2022-07-04,.
2022-07-05,1.19
2022-07-06,1.24
2022-07-07,1.29
2022-07-08,1.38
2022-07-11,1.39
2022-07-12,1.49
2022-07-13,1.63
2022-07-14,1.58
2022-07-15,1.54
2022-07-18,1.55
2022-07-19,1.6
2022-07-20,1.6
2022-07-21,1.53
2022-07-22,1.43
2022-07-25,1.49
2022-07-26,1.48
2022-07-27,1.42
2022-07-28,0.6
2022-07-29,0.66
2022-08-01,0.65
2022-08-02,0.76
2022-08-03,0.81
2022-08-04,0.78
2022-08-05,0.96
2022-08-08,0.97
2022-08-09,1.0
2022-08-10,0.93
2022-08-11,0.92
2022-08-12,0.93
2022-08-15,0.9
2022-08-16,0.93
2022-08-17,0.94
2022-08-18,0.91
2022-08-19,0.93
2022-08-22,0.99
2022-08-23,0.96
2022-08-24,1.02
2022-08-25,1.0
2022-08-26,1.03
2022-08-29,1.1
2022-08-30,1.15
2022-08-31,1.17
2022-09-01,1.18
2022-09-02,1.14
2022-09-05,.
2022-09-06,1.28
2022-09-07,1.27
2022-09-08,1.27
2022-09-09,1.34
2022-09-12,1.37
2022-09-13,1.59
2022-09-14,1.62
2022-09-15,1.67
2022-09-16,1.63
2022-09-19,1.72
2022-09-20,1.7
2022-09-21,1.75
2022-09-22,1.0
2022-09-23,1.07
2022-09-26,1.09
2022-09-27,1.08
2022-09-28,0.91
2022-09-29,0.9
2022-09-30,0.97
2022-10-03,0.93
2022-10-04,1.07
2022-10-05,1.06
2022-10-06,1.11
2022-10-07,1.16
2022-10-10,.
2022-10-11,1.2
2022-10-12,1.2
2022-10-13,1.38
2022-10-14,1.42
2022-10-17,1.42
2022-10-18,1.42
2022-10-19,1.52
2022-10-20,1.58
2022-10-21,1.5
2022-10-24,1.53
2022-10-25,1.52
2022-10-26,1.46
2022-10-27,1.42
2022-10-28,1.47
2022-10-31,1.58
2022-11-01,1.67
2022-11-02,1.68
2022-11-03,0.95
2022-11-04,0.93
2022-11-07,0.97
2022-11-08,0.94
2022-11-09,0.92
2022-11-10,0.76
2022-11-11,.
2022-11-14,0.8
2022-11-15,0.77
2022-11-16,0.79
2022-11-17,0.85
2022-11-18,0.91
2022-11-21,0.92
2022-11-22,0.96
2022-11-23,0.92
2022-11-24,.
2022-11-25,0.93
2022-11-28,0.93
2022-11-29,0.95
2022-11-30,0.91
2022-12-01,0.83
2022-12-02,0.86
2022-12-05,0.94
2022-12-06,0.9
2022-12-07,0.84
2022-12-08,0.88
2022-12-09,0.89
2022-12-12,0.92
2022-12-13,0.81
2022-12-14,0.81
2022-12-15,0.32
2022-12-16,0.28
2022-12-19,0.31
2022-12-20,0.31
2022-12-21,0.27
2022-12-22,0.31
2022-12-23,0.33
2022-12-26,.
2022-12-27,0.42
2022-12-28,0.38
2022-12-29,0.38
2022-12-30,0.4
2023-01-02,.
2023-01-03,0.39
2023-01-04,0.38
2023-01-05,0.45
2023-01-06,0.38
2023-01-09,0.36
2023-01-10,0.41
2023-01-11,0.4
2023-01-12,0.33
2023-01-13,0.36
2023-01-16,.
2023-01-17,0.34
2023-01-18,0.3
2023-01-19,0.32
2023-01-20,0.35
2023-01-23,0.37
2023-01-24,0.37
2023-01-25,0.34
2023-01-26,0.35
2023-01-27,0.35
2023-01-30,0.38
2023-01-31,0.35
2023-02-01,0.33
2023-02-02,0.06
2023-02-03,0.21
2023-02-06,0.27
2023-02-07,0.3
2023-02-08,0.29
2023-02-09,0.31
2023-02-10,0.31
2023-02-13,0.33
2023-02-14,0.41
2023-02-15,0.38
2023-02-16,0.41
2023-02-17,0.42
2023-02-20,.
2023-02-21,0.49
2023-02-22,0.49
2023-02-23,0.45
2023-02-24,0.47
2023-02-27,0.46
2023-02-28,0.45
2023-03-01,0.48
2023-03-02,0.47
2023-03-03,0.46
2023-03-06,0.48
2023-03-07,0.65
2023-03-08,0.68
2023-03-09,0.61
2023-03-10,0.33
2023-03-13,-0.28
2023-03-14,-0.13
2023-03-15,-0.39
2023-03-16,-0.09
2023-03-17,-0.32
2023-03-20,-0.24
2023-03-21,0.1
2023-03-22,-0.02
2023-03-23,-0.45
2023-03-24,-0.51
2023-03-27,-0.32
2023-03-28,-0.28
2023-03-29,-0.24
2023-03-30,-0.2
2023-03-31,-0.19
2023-04-03,-0.23
2023-04-04,-0.33
2023-04-05,-0.4
2023-04-06,-0.32
2023-04-07,-0.22
2023-04-10,-0.18
2023-04-11,-0.16
2023-04-12,-0.19
2023-04-13,-0.17
2023-04-14,-0.06
2023-04-17,-0.03
2023-04-18,-0.02
2023-04-19,0.01
2023-04-20,-0.06
2023-04-21,-0.05
2023-04-24,-0.07
2023-04-25,-0.23
2023-04-26,-0.19
2023-04-27,-0.05
2023-04-28,-0.03
2023-05-01,0.03
2023-05-02,-0.09
2023-05-03,-0.13
2023-05-04,-0.49
2023-05-05,-0.35
2023-05-08,-0.29
2023-05-09,-0.27
2023-05-10,-0.38
2023-05-11,-0.38
2023-05-12,-0.33
2023-05-15,-0.35
2023-05-16,-0.2
2023-05-17,-0.16
2023-05-18,-0.06
2023-05-19,-0.06
2023-05-22,-0.01
2023-05-23,-0.02
2023-05-24,0.04
2023-05-25,0.16
2023-05-26,0.17
2023-05-29,.
2023-05-30,0.14
2023-05-31,0.1
2023-06-01,0.03
2023-06-02,0.14
2023-06-05,0.09
2023-06-06,0.12
2023-06-07,0.08
2023-06-08,0.04
2023-06-09,0.09
2023-06-12,0.1
2023-06-13,0.18
2023-06-14,0.19
2023-06-15,0.14
2023-06-16,0.16
2023-06-19,.
2023-06-20,0.17
2023-06-21,0.18
2023-06-22,0.22
2023-06-23,0.18
2023-06-26,0.2
2023-06-27,0.26
2023-06-28,0.25
2023-06-29,0.34
2023-06-30,0.32
2023-07-03,0.35
2023-07-04,.
2023-07-05,0.32
2023-07-06,0.36
2023-07-07,0.33
2023-07-10,0.31
2023-07-11,0.36
2023-07-12,0.27
2023-07-13,0.19
2023-07-14,0.26
2023-07-17,0.25
2023-07-18,0.24
2023-07-19,0.24
2023-07-20,0.27
2023-07-21,0.27
2023-07-24,0.3
2023-07-25,0.3
2023-07-26,0.29
2023-07-27,0.07
2023-07-28,0.04
2023-07-31,0.04
2023-08-01,0.05
2023-08-02,0.03
2023-08-03,0.04
2023-08-04,0.0
2023-08-07,-0.03
2023-08-08,0.02
2023-08-09,0.02
2023-08-10,0.0
2023-08-11,0.03
2023-08-14,0.04
2023-08-15,0.03
2023-08-16,0.04
2023-08-17,0.03
2023-08-18,0.02
2023-08-21,0.04
2023-08-22,0.06
2023-08-23,0.02
2023-08-24,0.06
2023-08-25,0.11
2023-08-28,0.11
