DATE,WILLLRGCAPVAL
2001-04-18,24503.26
2001-04-19,24540.04
2001-04-20,24324.19
2001-04-23,24248.21
2001-04-24,24045.36
2001-04-25,24383.83
2001-04-26,24551.81
2001-04-27,24868.43
2001-04-30,24744.48
2001-05-01,24999.62
2001-05-02,24854.84
2001-05-03,24654.67
2001-05-04,24897.97
2001-05-07,24863.67
2001-05-08,24743.67
2001-05-09,24745.11
2001-05-10,24848.87
2001-05-11,24745.57
2001-05-14,24879.57
2001-05-15,24879.21
2001-05-16,25457.80
2001-05-17,25516.67
2001-05-18,25581.20
2001-05-21,25764.45
2001-05-22,25680.92
2001-05-23,25405.98
2001-05-24,25436.35
2001-05-25,25236.27
2001-05-28,.
2001-05-29,25239.06
2001-05-30,25029.30
2001-05-31,25227.72
2001-06-01,25226.48
2001-06-04,25345.39
2001-06-05,25531.40
2001-06-06,25251.02
2001-06-07,25269.81
2001-06-08,25134.75
2001-06-11,25015.29
2001-06-12,24998.35
2001-06-13,24884.44
2001-06-14,24456.45
2001-06-15,24418.12
2001-06-18,24339.22
2001-06-19,24359.61
2001-06-20,24534.03
2001-06-21,24695.97
2001-06-22,24516.79
2001-06-25,24342.53
2001-06-26,24346.37
2001-06-27,24275.28
2001-06-28,24493.45
2001-06-29,24549.54
2001-07-02,24774.80
2001-07-03,24740.02
2001-07-04,.
2001-07-05,24631.27
2001-07-06,24235.32
2001-07-09,24330.90
2001-07-10,24192.21
2001-07-11,24277.92
2001-07-12,24601.52
2001-07-13,24714.39
2001-07-16,24560.33
2001-07-17,24763.39
2001-07-18,24800.90
2001-07-19,24909.40
2001-07-20,24773.69
2001-07-23,24435.43
2001-07-24,24029.74
2001-07-25,24484.92
2001-07-26,24726.47
2001-07-27,24752.11
2001-07-30,24799.20
2001-07-31,24916.91
2001-08-01,24931.97
2001-08-02,25036.12
2001-08-03,24902.62
2001-08-06,24677.03
2001-08-07,24771.37
2001-08-08,24474.83
2001-08-09,24478.37
2001-08-10,24670.64
2001-08-13,24657.57
2001-08-14,24644.86
2001-08-15,24566.67
2001-08-16,24657.66
2001-08-17,24387.00
2001-08-20,24553.56
2001-08-21,24414.08
2001-08-22,24539.34
2001-08-23,24532.72
2001-08-24,24745.55
2001-08-27,24610.47
2001-08-28,24381.06
2001-08-29,24160.56
2001-08-30,23940.37
2001-08-31,23993.16
2001-09-03,.
2001-09-04,24116.62
2001-09-05,24114.82
2001-09-06,23709.53
2001-09-07,23344.57
2001-09-10,23418.36
2001-09-11,.
2001-09-12,.
2001-09-13,.
2001-09-14,.
2001-09-17,22480.89
2001-09-18,22386.27
2001-09-19,22056.00
2001-09-20,21460.72
2001-09-21,21012.75
2001-09-24,21573.48
2001-09-25,21779.65
2001-09-26,21710.80
2001-09-27,22056.01
2001-09-28,22489.08
2001-10-01,22382.73
2001-10-02,22702.57
2001-10-03,22905.29
2001-10-04,22801.20
2001-10-05,22750.88
2001-10-08,22552.67
2001-10-09,22530.47
2001-10-10,22972.70
2001-10-11,23134.36
2001-10-12,22923.94
2001-10-15,22874.45
2001-10-16,23024.15
2001-10-17,22722.30
2001-10-18,22472.96
2001-10-19,22609.64
2001-10-22,22888.60
2001-10-23,22707.28
2001-10-24,22634.92
2001-10-25,22869.58
2001-10-26,22990.91
2001-10-29,22624.68
2001-10-30,22273.60
2001-10-31,22257.26
2001-11-01,22648.11
2001-11-02,22686.97
2001-11-05,22926.59
2001-11-06,23170.37
2001-11-07,23095.19
2001-11-08,23139.66
2001-11-09,23193.70
2001-11-12,23140.61
2001-11-13,23427.49
2001-11-14,23421.49
2001-11-15,23469.96
2001-11-16,23482.59
2001-11-19,23666.34
2001-11-20,23614.81
2001-11-21,23480.35
2001-11-22,.
2001-11-23,23730.62
2001-11-26,23752.22
2001-11-27,23586.08
2001-11-28,23279.73
2001-11-29,23465.16
2001-11-30,23474.62
2001-12-03,23381.98
2001-12-04,23599.63
2001-12-05,23995.04
2001-12-06,23927.83
2001-12-07,23820.89
2001-12-10,23511.08
2001-12-11,23392.52
2001-12-12,23393.83
2001-12-13,23145.76
2001-12-14,23196.68
2001-12-17,23363.27
2001-12-18,23545.15
2001-12-19,23713.49
2001-12-20,23682.56
2001-12-21,23720.33
2001-12-24,23765.89
2001-12-25,.
2001-12-26,23900.61
2001-12-27,24028.72
2001-12-28,24093.71
2001-12-31,23921.67
2002-01-01,.
2002-01-02,24003.18
2002-01-03,24130.22
2002-01-04,24284.57
2002-01-07,24230.04
2002-01-08,24105.50
2002-01-09,23947.26
2002-01-10,23950.48
2002-01-11,23774.14
2002-01-14,23672.27
2002-01-15,23832.15
2002-01-16,23502.97
2002-01-17,23657.00
2002-01-18,23529.48
2002-01-21,.
2002-01-22,23492.67
2002-01-23,23717.93
2002-01-24,23809.08
2002-01-25,23855.07
2002-01-28,23876.79
2002-01-29,23343.08
2002-01-30,23578.33
2002-01-31,23938.76
2002-02-01,23813.76
2002-02-04,23404.96
2002-02-05,23306.38
2002-02-06,23162.49
2002-02-07,23169.04
2002-02-08,23418.32
2002-02-11,23734.06
2002-02-12,23722.84
2002-02-13,23924.69
2002-02-14,23958.61
2002-02-15,23856.66
2002-02-18,.
2002-02-19,23501.96
2002-02-20,23785.14
2002-02-21,23581.95
2002-02-22,23834.73
2002-02-25,24191.98
2002-02-26,24260.38
2002-02-27,24319.55
2002-02-28,24276.73
2002-03-01,24725.39
2002-03-04,25086.76
2002-03-05,24895.81
2002-03-06,25239.65
2002-03-07,25146.51
2002-03-08,25166.15
2002-03-11,25258.33
2002-03-12,25286.49
2002-03-13,25127.27
2002-03-14,25148.47
2002-03-15,25471.56
2002-03-18,25487.46
2002-03-19,25604.58
2002-03-20,25318.42
2002-03-21,25305.84
2002-03-22,25211.42
2002-03-25,24935.91
2002-03-26,25115.90
2002-03-27,25248.99
2002-03-28,25258.19
2002-03-29,.
2002-04-01,25202.19
2002-04-02,25121.89
2002-04-03,24883.24
2002-04-04,24883.13
2002-04-05,24883.77
2002-04-08,24980.27
2002-04-09,24891.35
2002-04-10,25230.10
2002-04-11,24782.22
2002-04-12,24862.59
2002-04-15,24716.59
2002-04-16,25227.79
2002-04-17,25238.92
2002-04-18,25204.08
2002-04-19,25267.31
2002-04-22,24954.31
2002-04-23,24908.95
2002-04-24,24784.02
2002-04-25,24753.23
2002-04-26,24517.62
2002-04-29,24268.07
2002-04-30,24527.63
2002-05-01,24796.87
2002-05-02,24840.92
2002-05-03,24685.39
2002-05-06,24291.17
2002-05-07,24223.93
2002-05-08,24760.95
2002-05-09,24550.04
2002-05-10,24259.27
2002-05-13,24638.92
2002-05-14,25022.23
2002-05-15,24895.61
2002-05-16,24971.83
2002-05-17,25032.01
2002-05-20,24817.86
2002-05-21,24698.20
2002-05-22,24848.46
2002-05-23,25111.69
2002-05-24,24845.49
2002-05-27,.
2002-05-28,24710.32
2002-05-29,24610.66
2002-05-30,24503.56
2002-05-31,24658.37
2002-06-03,24149.82
2002-06-04,24064.56
2002-06-05,24200.07
2002-06-06,23738.59
2002-06-07,23835.61
2002-06-10,23876.07
2002-06-11,23528.96
2002-06-12,23586.95
2002-06-13,23396.74
2002-06-14,23304.81
2002-06-17,23872.15
2002-06-18,23920.11
2002-06-19,23593.48
2002-06-20,23382.30
2002-06-21,23165.08
2002-06-24,23082.44
2002-06-25,22779.62
2002-06-26,22651.73
2002-06-27,22935.13
2002-06-28,23120.62
2002-07-01,22758.78
2002-07-02,22347.40
2002-07-03,22297.37
2002-07-04,.
2002-07-05,22936.31
2002-07-08,22804.87
2002-07-09,22249.89
2002-07-10,21562.46
2002-07-11,21526.20
2002-07-12,21323.46
2002-07-15,21239.29
2002-07-16,20877.98
2002-07-17,20911.44
2002-07-18,20347.70
2002-07-19,19600.09
2002-07-22,18935.87
2002-07-23,18459.68
2002-07-24,19428.57
2002-07-25,19552.34
2002-07-26,19764.27
2002-07-29,20741.30
2002-07-30,20759.98
2002-07-31,21094.68
2002-08-01,20553.46
2002-08-02,20137.36
2002-08-05,19483.43
2002-08-06,19957.35
2002-08-07,20279.92
2002-08-08,20920.71
2002-08-09,21033.40
2002-08-12,20924.37
2002-08-13,20528.60
2002-08-14,21199.90
2002-08-15,21390.84
2002-08-16,21366.56
2002-08-19,21741.57
2002-08-20,21412.76
2002-08-21,21654.90
2002-08-22,21941.39
2002-08-23,21496.45
2002-08-26,21731.02
2002-08-27,21521.80
2002-08-28,21172.06
2002-08-29,21129.66
2002-08-30,21140.88
2002-09-02,.
2002-09-03,20357.62
2002-09-04,20649.00
2002-09-05,20412.07
2002-09-06,20684.63
2002-09-09,20815.37
2002-09-10,20921.41
2002-09-11,20957.87
2002-09-12,20461.32
2002-09-13,20507.82
2002-09-16,20541.39
2002-09-17,20114.62
2002-09-18,20016.36
2002-09-19,19439.21
2002-09-20,19537.77
2002-09-23,19355.30
2002-09-24,18971.86
2002-09-25,19366.78
2002-09-26,19773.51
2002-09-27,19145.30
2002-09-30,18915.06
2002-10-01,19603.41
2002-10-02,19109.40
2002-10-03,18939.65
2002-10-04,18517.11
2002-10-07,18158.99
2002-10-08,18329.07
2002-10-09,17820.78
2002-10-10,18421.86
2002-10-11,19073.82
2002-10-14,19191.35
2002-10-15,19972.75
2002-10-16,19437.79
2002-10-17,19841.84
2002-10-18,19898.28
2002-10-21,20330.56
2002-10-22,20105.54
2002-10-23,20254.30
2002-10-24,19989.99
2002-10-25,20267.88
2002-10-28,20164.87
2002-10-29,19937.90
2002-10-30,20231.35
2002-10-31,20101.48
2002-11-01,20491.59
2002-11-04,20585.87
2002-11-05,20739.60
2002-11-06,20915.93
2002-11-07,20433.74
2002-11-08,20290.68
