DATE,WILL5000PR
2000-08-03,13503.15
2000-08-04,13619.73
2000-08-07,13775.71
2000-08-08,13793.74
2000-08-09,13710.32
2000-08-10,13584.37
2000-08-11,13703.86
2000-08-14,13875.09
2000-08-15,13809.66
2000-08-16,13784.68
2000-08-17,13940.99
2000-08-18,13907.18
2000-08-21,13969.57
2000-08-22,13969.52
2000-08-23,14049.03
2000-08-24,14096.83
2000-08-25,14091.29
2000-08-28,14158.36
2000-08-29,14147.13
2000-08-30,14125.58
2000-08-31,14280.04
2000-09-01,14329.94
2000-09-04,.
2000-09-05,14201.73
2000-09-06,14044.53
2000-09-07,14155.20
2000-09-08,14050.20
2000-09-11,13995.84
2000-09-12,13937.71
2000-09-13,13970.18
2000-09-14,13974.27
2000-09-15,13813.58
2000-09-18,13578.05
2000-09-19,13746.02
2000-09-20,13693.42
2000-09-21,13637.81
2000-09-22,13678.15
2000-09-25,13604.60
2000-09-26,13484.57
2000-09-27,13465.27
2000-09-28,13786.28
2000-09-29,13613.33
2000-10-02,13522.25
2000-10-03,13364.06
2000-10-04,13451.99
2000-10-05,13422.02
2000-10-06,13142.16
2000-10-09,13099.79
2000-10-10,12914.18
2000-10-11,12699.66
2000-10-12,12354.82
2000-10-13,12803.25
2000-10-16,12831.42
2000-10-17,12588.60
2000-10-18,12494.14
2000-10-19,12942.80
2000-10-20,13057.40
2000-10-23,13058.91
2000-10-24,13046.78
2000-10-25,12733.72
2000-10-26,12738.84
2000-10-27,12860.65
2000-10-30,12965.70
2000-10-31,13314.68
2000-11-01,13252.60
2000-11-02,13388.31
2000-11-03,13382.96
2000-11-06,13404.68
2000-11-07,13402.75
2000-11-08,13152.56
2000-11-09,13029.26
2000-11-10,12688.89
2000-11-13,12522.54
2000-11-14,12846.72
2000-11-15,12926.01
2000-11-16,12720.57
2000-11-17,12659.90
2000-11-20,12361.32
2000-11-21,12361.42
2000-11-22,12110.06
2000-11-23,.
2000-11-24,12353.39
2000-11-27,12393.69
2000-11-28,12197.42
2000-11-29,12220.59
2000-11-30,11976.24
2000-12-01,12037.44
2000-12-04,12084.23
2000-12-05,12616.93
2000-12-06,12398.24
2000-12-07,12329.40
2000-12-08,12666.46
2000-12-11,12811.63
2000-12-12,12685.59
2000-12-13,12545.64
2000-12-14,12328.82
2000-12-15,12093.96
2000-12-18,12177.99
2000-12-19,11988.13
2000-12-20,11570.29
2000-12-21,11635.55
2000-12-22,11981.58
2000-12-25,.
2000-12-26,12053.79
2000-12-27,12215.56
2000-12-28,12325.67
2000-12-29,12175.88
2001-01-01,.
2001-01-02,11763.92
2001-01-03,12380.26
2001-01-04,12224.42
2001-01-05,11872.66
2001-01-08,11836.45
2001-01-09,11896.98
2001-01-10,12064.50
2001-01-11,12227.44
2001-01-12,12181.33
2001-01-15,.
2001-01-16,12268.09
2001-01-17,12310.07
2001-01-18,12448.12
2001-01-19,12383.96
2001-01-22,12389.91
2001-01-23,12584.00
2001-01-24,12631.23
2001-01-25,12538.71
2001-01-26,12527.35
2001-01-29,12640.65
2001-01-30,12719.22
2001-01-31,12631.36
2001-02-01,12691.15
2001-02-02,12435.44
2001-02-05,12472.17
2001-02-06,12479.85
2001-02-07,12377.86
2001-02-08,12293.96
2001-02-09,12124.31
2001-02-12,12253.57
2001-02-13,12147.90
2001-02-14,12144.30
2001-02-15,12253.82
2001-02-16,12029.62
2001-02-19,.
2001-02-20,11807.43
2001-02-21,11596.76
2001-02-22,11544.33
2001-02-23,11500.71
2001-02-26,11722.40
2001-02-27,11592.11
2001-02-28,11425.29
2001-03-01,11429.45
2001-03-02,11374.41
2001-03-05,11434.54
2001-03-06,11553.94
2001-03-07,11623.61
2001-03-08,11613.91
2001-03-09,11331.73
2001-03-12,10849.59
2001-03-13,11014.53
2001-03-14,10744.53
2001-03-15,10782.68
2001-03-16,10559.37
2001-03-19,10754.33
2001-03-20,10504.39
2001-03-21,10308.33
2001-03-22,10261.91
2001-03-23,10475.38
2001-03-26,10592.75
2001-03-27,10842.88
2001-03-28,10570.14
2001-03-29,10518.08
2001-03-30,10645.85
2001-04-02,10482.06
2001-04-03,10103.29
2001-04-04,10068.63
2001-04-05,10532.13
2001-04-06,10318.49
2001-04-09,10410.75
2001-04-10,10701.66
2001-04-11,10688.32
2001-04-12,10852.65
2001-04-13,.
2001-04-16,10805.21
2001-04-17,10923.76
2001-04-18,11343.78
2001-04-19,11505.44
2001-04-20,11409.75
2001-04-23,11224.92
2001-04-24,11099.40
2001-04-25,11284.05
2001-04-26,11340.76
2001-04-27,11508.88
2001-04-30,11512.46
2001-05-01,11667.49
2001-05-02,11700.18
2001-05-03,11520.76
2001-05-04,11687.27
2001-05-07,11649.01
2001-05-08,11637.70
2001-05-09,11582.70
2001-05-10,11575.48
2001-05-11,11491.34
2001-05-14,11506.65
2001-05-15,11518.32
2001-05-16,11832.70
2001-05-17,11895.72
2001-05-18,11923.50
2001-05-21,12142.14
2001-05-22,12125.59
2001-05-23,11922.65
2001-05-24,11970.38
2001-05-25,11849.90
2001-05-28,.
2001-05-29,11729.34
2001-05-30,11527.05
2001-05-31,11610.22
2001-06-01,11671.48
2001-06-04,11731.51
2001-06-05,11902.89
2001-06-06,11787.79
2001-06-07,11851.23
2001-06-08,11736.72
2001-06-11,11625.50
2001-06-12,11631.79
2001-06-13,11509.47
2001-06-14,11287.97
2001-06-15,11238.01
2001-06-18,11171.31
2001-06-19,11194.83
2001-06-20,11312.77
2001-06-21,11423.91
2001-06-22,11312.46
2001-06-25,11253.18
2001-06-26,11254.28
2001-06-27,11229.02
2001-06-28,11374.63
2001-06-29,11407.15
2001-07-02,11477.37
2001-07-03,11454.17
2001-07-04,.
2001-07-05,11316.54
2001-07-06,11059.59
2001-07-09,11124.33
2001-07-10,10962.56
2001-07-11,10944.55
2001-07-12,11208.21
2001-07-13,11271.92
2001-07-16,11144.47
2001-07-17,11260.71
2001-07-18,11184.52
2001-07-19,11245.52
2001-07-20,11212.37
2001-07-23,11042.81
2001-07-24,10859.27
2001-07-25,11009.32
2001-07-26,11137.46
2001-07-27,11165.20
2001-07-30,11153.39
2001-07-31,11208.51
2001-08-01,11259.73
2001-08-02,11296.64
2001-08-03,11242.94
2001-08-06,11115.21
2001-08-07,11139.11
2001-08-08,10949.01
2001-08-09,10943.59
2001-08-10,10994.45
2001-08-13,11017.55
2001-08-14,10987.36
2001-08-15,10910.50
2001-08-16,10934.61
2001-08-17,10760.09
2001-08-20,10837.59
2001-08-21,10711.05
2001-08-22,10784.90
2001-08-23,10752.08
2001-08-24,10948.41
2001-08-27,10904.28
2001-08-28,10749.09
2001-08-29,10644.17
2001-08-30,10471.99
2001-08-31,10515.09
2001-09-03,.
2001-09-04,10506.00
2001-09-05,10472.58
2001-09-06,10252.14
2001-09-07,10066.49
2001-09-10,10104.45
2001-09-11,.
2001-09-12,.
2001-09-13,.
2001-09-14,.
2001-09-17,9590.69
2001-09-18,9516.31
2001-09-19,9357.76
2001-09-20,9073.24
2001-09-21,8900.45
2001-09-24,9238.54
2001-09-25,9307.82
2001-09-26,9246.54
2001-09-27,9350.02
2001-09-28,9562.95
2001-10-01,9518.42
2001-10-02,9518.44
2001-10-03,9842.45
2001-10-04,9834.23
2001-10-05,9837.11
2001-10-08,9759.33
2001-10-09,9710.47
2001-10-10,9937.70
2001-10-11,10109.04
2001-10-12,10049.12
2001-10-15,10040.30
2001-10-16,10117.88
2001-10-17,9916.34
2001-10-18,9841.65
2001-10-19,9894.89
2001-10-22,10042.19
2001-10-23,9995.23
2001-10-24,10001.08
2001-10-25,10143.12
2001-10-26,10185.53
2001-10-29,9950.25
2001-10-30,9778.47
2001-10-31,9796.86
2001-11-01,10000.60
2001-11-02,10016.81
2001-11-05,10157.12
2001-11-06,10304.39
2001-11-07,10279.22
2001-11-08,10290.33
2001-11-09,10297.23
2001-11-12,10289.91
2001-11-13,10478.70
2001-11-14,10510.88
2001-11-15,10511.51
2001-11-16,10486.67
2001-11-19,10606.84
2001-11-20,10523.12
2001-11-21,10474.54
2001-11-22,.
2001-11-23,10596.40
2001-11-26,10670.75
2001-11-27,10613.97
2001-11-28,10427.06
2001-11-29,10544.79
2001-11-30,10531.45
2001-12-03,10443.79
2001-12-04,10594.77
2001-12-05,10834.46
2001-12-06,10822.07
2001-12-07,10745.37
2001-12-10,10583.43
2001-12-11,10564.56
2001-12-12,10566.06
2001-12-13,10408.93
2001-12-14,10443.56
2001-12-17,10549.82
2001-12-18,10636.82
2001-12-19,10682.15
2001-12-20,10582.95
2001-12-21,10644.81
2001-12-24,10648.86
2001-12-25,.
2001-12-26,10703.40
2001-12-27,10774.64
2001-12-28,10818.57
2001-12-31,10707.68
2002-01-01,.
2002-01-02,10750.87
2002-01-03,10856.68
2002-01-04,10932.32
2002-01-07,10858.14
2002-01-08,10831.30
2002-01-09,10782.44
2002-01-10,10790.86
2002-01-11,10698.22
2002-01-14,10611.60
2002-01-15,10683.37
2002-01-16,10514.12
2002-01-17,10621.66
2002-01-18,10509.36
2002-01-21,.
2002-01-22,10425.14
2002-01-23,10522.08
2002-01-24,10566.01
2002-01-25,10576.52
2002-01-28,10582.02
2002-01-29,10317.70
2002-01-30,10425.43
2002-01-31,10564.69
2002-02-01,10490.17
2002-02-04,10245.23
2002-02-05,10210.26
2002-02-06,10132.38
2002-02-07,10090.36
2002-02-08,10249.32
2002-02-11,10385.99
2002-02-12,10354.75
2002-02-13,10454.44
2002-02-14,10429.31
2002-02-15,10315.47
2002-02-18,.
2002-02-19,10119.10
2002-02-20,10252.25
2002-02-21,10099.26
2002-02-22,10179.29
2002-02-25,10346.69
2002-02-26,10358.69
2002-02-27,10363.06
2002-02-28,10332.89
2002-03-01,10560.01
2002-03-04,10767.92
2002-03-05,10712.29
2002-03-06,10859.26
2002-03-07,10814.77
2002-03-08,10890.67
2002-03-11,10922.16
2002-03-12,10892.98
2002-03-13,10793.11
2002-03-14,10789.58
2002-03-15,10904.69
2002-03-18,10916.03
2002-03-19,10953.64
2002-03-20,10790.94
2002-03-21,10823.52
2002-03-22,10776.86
2002-03-25,10623.31
2002-03-26,10686.02
2002-03-27,10746.58
2002-03-28,10775.74
2002-03-29,.
2002-04-01,10765.18
2002-04-02,10669.29
2002-04-03,10564.02
2002-04-04,10576.88
2002-04-05,10551.43
2002-04-08,10588.65
2002-04-09,10529.10
2002-04-10,10650.92
2002-04-11,10419.74
2002-04-12,10505.97
2002-04-15,10437.84
2002-04-16,10669.41
2002-04-17,10642.51
2002-04-18,10628.54
2002-04-19,10635.05
2002-04-22,10478.66
2002-04-23,10425.01
2002-04-24,10359.97
2002-04-25,10351.54
2002-04-26,10208.26
2002-04-29,10119.99
2002-04-30,10241.18
2002-05-01,10318.45
2002-05-02,10298.28
2002-05-03,10202.04
2002-05-06,10016.35
2002-05-07,9979.98
2002-05-08,10328.87
2002-05-09,10180.84
2002-05-10,10017.47
2002-05-13,10190.48
2002-05-14,10410.30
2002-05-15,10367.65
2002-05-16,10403.18
2002-05-17,10474.18
2002-05-20,10341.59
2002-05-21,10223.48
2002-05-22,10261.27
2002-05-23,10369.38
2002-05-24,10250.64
2002-05-27,.
2002-05-28,10177.06
2002-05-29,10110.64
2002-05-30,10086.98
2002-05-31,10106.49
2002-06-03,9865.09
2002-06-04,9854.56
2002-06-05,9930.79
2002-06-06,9744.40
2002-06-07,9752.69
2002-06-10,9771.69
2002-06-11,9609.42
2002-06-12,9660.32
2002-06-13,9557.16
2002-06-14,9549.72
2002-06-17,9810.97
2002-06-18,9814.86
2002-06-19,9658.20
2002-06-20,9531.45
2002-06-21,9389.98
2002-06-24,9406.86
2002-06-25,9251.65
2002-06-26,9222.31
2002-06-27,9373.21
2002-06-28,9384.03
2002-07-01,9168.49
2002-07-02,8961.57
2002-07-03,8998.20
2002-07-04,.
2002-07-05,9313.40
2002-07-08,9198.56
2002-07-09,8986.74
2002-07-10,8716.38
2002-07-11,8760.01
2002-07-12,8711.60
2002-07-15,8671.29
2002-07-16,8545.04
2002-07-17,8595.48
2002-07-18,8365.26
2002-07-19,8082.99
2002-07-22,7825.50
2002-07-23,7601.84
2002-07-24,8009.06
2002-07-25,7971.59
2002-07-26,8091.63
2002-07-29,8526.13
2002-07-30,8563.08
2002-07-31,8616.94
2002-08-01,8386.19
2002-08-02,8186.56
2002-08-05,7916.32
2002-08-06,8153.38
2002-08-07,8297.96
2002-08-08,8547.30
2002-08-09,8571.87
2002-08-12,8537.21
2002-08-13,8355.51
2002-08-14,8662.96
2002-08-15,8764.54
2002-08-16,8770.28
2002-08-19,8956.53
2002-08-20,8840.21
2002-08-21,8958.39
2002-08-22,9075.57
2002-08-23,8876.89
2002-08-26,8951.63
2002-08-27,8816.26
2002-08-28,8660.45
2002-08-29,8676.63
2002-08-30,8654.04
2002-09-02,.
2002-09-03,8317.32
2002-09-04,8464.89
2002-09-05,8330.70
2002-09-06,8481.20
2002-09-09,8557.21
2002-09-10,8614.45
2002-09-11,8610.82
2002-09-12,8407.89
2002-09-13,8440.93
2002-09-16,8442.02
2002-09-17,8283.00
2002-09-18,8244.91
2002-09-19,8005.07
2002-09-20,8023.17
2002-09-23,7908.23
2002-09-24,7786.14
2002-09-25,7971.70
2002-09-26,8110.37
2002-09-27,7872.54
2002-09-30,7773.63
2002-10-01,8044.62
2002-10-02,7859.67
2002-10-03,7773.47
2002-10-04,7598.62
2002-10-07,7444.62
2002-10-08,7552.69
2002-10-09,7342.84
2002-10-10,7591.18
2002-10-11,7873.03
2002-10-14,7930.44
2002-10-15,8290.48
2002-10-16,8091.03
2002-10-17,8282.51
2002-10-18,8323.78
2002-10-21,8459.30
2002-10-22,8365.08
2002-10-23,8430.53
2002-10-24,8312.17
2002-10-25,8450.64
2002-10-28,8381.02
2002-10-29,8307.68
2002-10-30,8391.58
2002-10-31,8357.32
2002-11-01,8502.20
2002-11-04,8570.04
2002-11-05,8624.12
2002-11-06,8708.87
2002-11-07,8516.21
2002-11-08,8438.80
2002-11-11,8264.65
2002-11-12,8333.44
2002-11-13,8330.78
2002-11-14,8532.12
2002-11-15,8584.05
2002-11-18,8499.01
2002-11-19,8458.21
2002-11-20,8619.42
2002-11-21,8802.07
2002-11-22,8783.13
2002-11-25,8813.76
2002-11-26,8635.64
2002-11-27,8872.79
2002-11-28,.
2002-11-29,8846.71
2002-12-02,8841.23
2002-12-03,8706.12
2002-12-04,8671.29
2002-12-05,8578.02
2002-12-06,8629.16
2002-12-09,8438.21
2002-12-10,8557.00
2002-12-11,8562.71
2002-12-12,8541.75
2002-12-13,8426.09
2002-12-16,8611.40
2002-12-17,8544.51
2002-12-18,8431.30
2002-12-19,8372.32
2002-12-20,8475.26
2002-12-23,8495.01
2002-12-24,8451.97
2002-12-25,.
2002-12-26,8435.74
2002-12-27,8305.45
2002-12-30,8333.51
2002-12-31,8343.19
2003-01-01,.
2003-01-02,8601.24
2003-01-03,8593.22
2003-01-06,8772.22
2003-01-07,8713.70
2003-01-08,8596.03
2003-01-09,8755.98
2003-01-10,8758.43
2003-01-13,8745.65
2003-01-14,8793.17
2003-01-15,8679.99
2003-01-16,8650.97
2003-01-17,8530.32
2003-01-20,.
2003-01-21,8400.48
2003-01-22,8321.92
2003-01-23,8405.68
2003-01-24,8175.75
2003-01-27,8041.99
2003-01-28,8142.57
2003-01-29,8194.17
2003-01-30,8021.21
2003-01-31,8125.07
2003-02-03,8154.81
2003-02-04,8049.55
2003-02-05,8010.06
2003-02-06,7958.19
2003-02-07,7873.42
2003-02-10,7929.13
2003-02-11,7873.27
2003-02-12,7772.39
2003-02-13,7752.06
2003-02-14,7896.94
2003-02-17,.
2003-02-18,8051.71
2003-02-19,7995.72
2003-02-20,7931.61
2003-02-21,8035.97
2003-02-24,7895.06
2003-02-25,7949.39
2003-02-26,7852.44
2003-02-27,7939.73
2003-02-28,7972.60
2003-03-03,7920.37
2003-03-04,7807.01
2003-03-05,7865.25
2003-03-06,7799.65
2003-03-07,7857.32
2003-03-10,7672.24
2003-03-11,7610.47
2003-03-12,7631.08
2003-03-13,7886.48
2003-03-14,7896.37
2003-03-17,8163.16
2003-03-18,8200.30
2003-03-19,8258.42
2003-03-20,8284.59
2003-03-21,8463.32
2003-03-24,8180.45
2003-03-25,8279.27
2003-03-26,8232.83
2003-03-27,8224.04
2003-03-28,8185.58
2003-03-31,8051.86
2003-04-01,8142.38
2003-04-02,8348.76
2003-04-03,8308.56
2003-04-04,8320.00
2003-04-07,8336.54
2003-04-08,8313.74
2003-04-09,8210.06
2003-04-10,8254.36
2003-04-11,8227.54
2003-04-14,8381.28
2003-04-15,8432.13
2003-04-16,8340.20
2003-04-17,8466.83
2003-04-18,.
2003-04-21,8459.72
2003-04-22,8633.17
2003-04-23,8706.43
2003-04-24,8636.64
2003-04-25,8525.89
2003-04-28,8671.80
2003-04-29,8700.51
2003-04-30,8701.97
2003-05-01,8698.40
2003-05-02,8834.06
2003-05-05,8817.48
2003-05-06,8888.97
2003-05-07,8848.56
2003-05-08,8763.63
2003-05-09,8883.34
2003-05-12,8994.03
2003-05-13,8973.54
2003-05-14,8951.29
2003-05-15,9016.32
2003-05-16,8989.87
2003-05-19,8782.86
2003-05-20,8772.96
2003-05-21,8809.96
2003-05-22,8892.83
2003-05-23,8916.23
2003-05-26,.
2003-05-27,9087.00
2003-05-28,9103.85
2003-05-29,9078.11
2003-05-30,9218.89
2003-06-02,9254.97
2003-06-03,9290.04
2003-06-04,9431.46
2003-06-05,9480.80
2003-06-06,9452.54
2003-06-09,9329.90
2003-06-10,9418.53
2003-06-11,9537.94
2003-06-12,9552.55
2003-06-13,9454.26
2003-06-16,9653.86
2003-06-17,9662.50
2003-06-18,9646.42
2003-06-19,9505.73
2003-06-20,9511.99
2003-06-23,9370.05
2003-06-24,9387.95
2003-06-25,9333.19
2003-06-26,9434.92
2003-06-27,9358.47
2003-06-30,9342.42
2003-07-01,9409.81
2003-07-02,9530.33
2003-07-03,9462.51
2003-07-04,.
2003-07-07,9640.08
2003-07-08,9687.19
2003-07-09,9652.78
2003-07-10,9523.06
2003-07-11,9610.93
2003-07-14,9676.55
2003-07-15,9641.07
2003-07-16,9579.32
2003-07-17,9443.32
2003-07-18,9546.66
2003-07-21,9413.55
2003-07-22,9503.48
2003-07-23,9515.48
2003-07-24,9457.62
2003-07-25,9599.36
2003-07-28,9596.41
2003-07-29,9542.12
2003-07-30,9527.83
2003-07-31,9555.19
2003-08-01,9454.16
2003-08-04,9464.20
2003-08-05,9306.27
2003-08-06,9307.53
2003-08-07,9362.38
2003-08-08,9392.73
2003-08-11,9431.38
2003-08-12,9530.43
2003-08-13,9481.27
2003-08-14,9540.81
2003-08-15,9547.51
2003-08-18,9643.25
2003-08-19,9683.31
2003-08-20,9671.31
2003-08-21,9715.26
2003-08-22,9612.47
2003-08-25,9588.68
2003-08-26,9637.01
2003-08-27,9651.69
2003-08-28,9719.88
2003-08-29,9770.56
2003-09-01,.
2003-09-02,9905.44
2003-09-03,9947.15
2003-09-04,9967.22
2003-09-05,9906.69
2003-09-08,10010.54
2003-09-09,9932.85
2003-09-10,9794.44
2003-09-11,9853.11
2003-09-12,9877.31
2003-09-15,9842.92
2003-09-16,9979.05
2003-09-17,9951.79
2003-09-18,10076.17
2003-09-19,10054.07
2003-09-22,9927.81
2003-09-23,9993.48
2003-09-24,9807.62
2003-09-25,9726.41
2003-09-26,9646.46
2003-09-29,9742.98
2003-09-30,9649.68
2003-10-01,9859.56
2003-10-02,9887.36
2003-10-03,9990.30
2003-10-06,10040.28
2003-10-07,10090.78
2003-10-08,10038.58
2003-10-09,10092.92
2003-10-10,10085.32
2003-10-13,10167.76
2003-10-14,10211.14
2003-10-15,10174.82
2003-10-16,10210.84
2003-10-17,10098.38
2003-10-20,10140.24
2003-10-21,10164.76
2003-10-22,10007.32
2003-10-23,10029.20
2003-10-24,9983.50
2003-10-27,10027.22
2003-10-28,10181.20
2003-10-29,10207.31
2003-10-30,10195.52
2003-10-31,10224.52
2003-11-03,10317.20
2003-11-04,10271.46
2003-11-05,10263.10
2003-11-06,10324.30
2003-11-07,10289.76
2003-11-10,10214.94
2003-11-11,10194.57
2003-11-12,10326.98
2003-11-13,10329.90
2003-11-14,10244.66
2003-11-17,10172.42
2003-11-18,10082.84
2003-11-19,10155.98
2003-11-20,10077.82
2003-11-21,10098.88
2003-11-24,10271.72
2003-11-25,10300.96
2003-11-26,10344.62
2003-11-27,.
2003-11-28,10352.22
2003-12-01,10471.06
2003-12-02,10441.68
2003-12-03,10402.34
2003-12-04,10431.96
2003-12-05,10352.60
2003-12-08,10425.16
2003-12-09,10326.70
2003-12-10,10295.70
2003-12-11,10430.54
2003-12-12,10464.48
2003-12-15,10385.18
2003-12-16,10441.40
2003-12-17,10455.40
2003-12-18,10582.82
2003-12-19,10579.42
2003-12-22,10619.57
2003-12-23,10657.14
2003-12-24,10638.81
2003-12-25,.
2003-12-26,10659.44
2003-12-29,10792.60
2003-12-30,10799.44
2003-12-31,10799.63
2004-01-01,.
2004-01-02,10777.86
2004-01-05,10906.34
2004-01-06,10925.16
2004-01-07,10957.10
2004-01-08,11009.62
2004-01-09,10929.00
2004-01-12,10989.24
2004-01-13,10935.88
2004-01-14,11022.98
2004-01-15,11036.78
2004-01-16,11116.04
2004-01-19,.
2004-01-20,11131.32
2004-01-21,11202.60
2004-01-22,11164.78
2004-01-23,11156.79
2004-01-26,11281.80
2004-01-27,11177.42
2004-01-28,11016.96
2004-01-29,11045.72
2004-01-30,11029.20
2004-02-02,11060.94
2004-02-03,11060.38
2004-02-04,10949.56
2004-02-05,10974.04
2004-02-06,11129.41
2004-02-09,11116.74
2004-02-10,11181.46
2004-02-11,11293.42
2004-02-12,11239.00
2004-02-13,11174.00
2004-02-16,.
2004-02-17,11284.06
2004-02-18,11237.28
2004-02-19,11176.92
2004-02-20,11143.58
2004-02-23,11090.04
2004-02-24,11075.48
2004-02-25,11133.62
2004-02-26,11162.14
2004-02-27,11172.89
2004-03-01,11289.48
2004-03-02,11225.44
2004-03-03,11238.32
2004-03-04,11288.37
2004-03-05,11314.42
2004-03-08,11220.62
2004-03-09,11147.30
2004-03-10,10979.40
2004-03-11,10821.48
2004-03-12,10968.18
2004-03-15,10798.60
2004-03-16,10844.34
2004-03-17,10980.88
2004-03-18,10960.56
2004-03-19,10852.97
2004-03-22,10703.78
2004-03-23,10693.36
2004-03-24,10662.52
2004-03-25,10842.86
2004-03-26,10840.18
2004-03-29,10982.52
2004-03-30,11037.06
2004-03-31,11039.42
2004-04-01,11107.42
2004-04-02,11202.42
2004-04-05,11279.89
2004-04-06,11239.80
2004-04-07,11185.18
2004-04-08,11166.06
2004-04-09,.
2004-04-12,11212.84
2004-04-13,11046.01
2004-04-14,11022.92
2004-04-15,11024.00
2004-04-16,11078.10
2004-04-19,11101.98
2004-04-20,10931.09
2004-04-21,10994.36
2004-04-22,11154.54
2004-04-23,11150.42
2004-04-26,11109.70
2004-04-27,11129.34
2004-04-28,10967.44
2004-04-29,10867.10
2004-04-30,10793.66
2004-05-03,10892.49
2004-05-04,10917.11
2004-05-05,10941.60
2004-05-06,10858.03
2004-05-07,10693.68
2004-05-10,10555.12
2004-05-11,10654.26
2004-05-12,10663.67
2004-05-13,10655.80
2004-05-14,10640.67
2004-05-17,10524.46
2004-05-18,10604.33
2004-05-19,10578.83
2004-05-20,10584.64
2004-05-21,10630.34
2004-05-24,10663.30
2004-05-25,10841.82
2004-05-26,10869.69
2004-05-27,10923.17
2004-05-28,10926.27
2004-05-31,.
2004-06-01,10939.90
2004-06-02,10971.83
2004-06-03,10873.51
2004-06-04,10934.60
2004-06-07,11108.67
2004-06-08,11117.90
2004-06-09,11005.55
2004-06-10,11046.64
2004-06-11,.
2004-06-14,10928.18
2004-06-15,11008.48
2004-06-16,11028.55
2004-06-17,11016.05
2004-06-18,11040.51
2004-06-21,10997.29
2004-06-22,11039.81
2004-06-23,11141.53
2004-06-24,11112.29
2004-06-25,11077.74
2004-06-28,11059.68
2004-06-29,11091.02
2004-06-30,11144.59
2004-07-01,11027.70
2004-07-02,10999.95
2004-07-05,.
